Watchlist '1month'

1month
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
SNDK,626.56,-3.73,629.90,630.50,Information Technology,1.475375052561E10
MKSI,260.74,+11.32,258.50,261.89,Information Technology,4.3378960608E8
IPGP,153.91,+3.66,149.96,158.99,Information Technology,2.0244697148E8
FORM,96.73,+3.05,95.86,106.22,Information Technology,1.3785380458E8
ALGM,42.38,+.55,41.63,43.61,Information Technology,6.677979316E7
LASR,52.28,-.15,49.70,53.00,Information Technology,5.848155165E7
AUGO,72.36,+3.43,71.50,73.10,Materials,5.697788454E7
ALGT,111.30,+2.02,85.00,114.41,Industrials,5.169852904E7
ERAS,12.00,-.31,12.05,12.36,Health Care,3.897504293E7
BORR,5.64,+.14,5.55,5.69,Energy,3.576623684E7
ALMS,26.54,-.26,26.55,27.08,Health Care,3.389467304E7
TNGX,12.90,+.23,12.79,13.44,Health Care,3.092454396E7
LBRT,25.90,+1.13,25.70,25.90,Energy,2.1804153204E8
IBRX,5.945,-.675,6.07,6.10,Health Care,2.5942598425E8
PSIX,98.77,+6.05,98.80,100.00,Industrials,1.0295680908E8
CCSI,29.61,+2.41,26.40,31.35,Information Technology,1.089453936E7
DOCN,68.16,+4.38,67.75,70.50,Information Technology,2.6879459798E8
FSLY,18.26,+2.22,18.40,18.49,Information Technology,9.9545321745E8
AEIS,314.27,+1.32,311.90,318.00,Information Technology,2.8011848776E8
ATEX,31.89,+2.62,29.07,32.50,Communication Services,2.171900869E7
VIAV,26.29,-.21,26.01,26.44,Information Technology,1.3577143011E8
ACMR,64.84,+.74,63.50,65.80,Information Technology,8.981774791E7
STRL,437.77,+6.34,433.35,440.00,Industrials,2.298397192E8
LITE,562.74,-20.72,546.10,549.00,Information Technology,2.80134080982E9
VNET,13.80,-.23,13.84,13.90,Information Technology,1.0495549181E8
GNRC,224.45,+8.72,223.85,226.00,Industrials,6.3376062808E8
AAOI,44.46,+.47,44.23,44.46,Information Technology,1.2290852716E8
ACHC,16.77,+.88,16.16,16.95,Health Care,6.921453816E7
JBLU,5.91,+.28,5.86,5.90,Industrials,8.004633904E7
TWST,49.11,+1.45,48.00,49.08,Health Care,5.216239631E7
CRVS,18.66,-.10,18.60,19.46,Health Care,1.897906369E7
CIEN,303.92,+10.96,300.50,303.79,Information Technology,9.1006972871E8
POWL,585.07,-7.83,582.00,596.00,Industrials,1.0074982017E8
NKTR,71.33,+.33,71.50,73.00,Health Care,1.6132128041E8
GPRE,13.70,-.22,13.17,13.67,Energy,2.385660137E7
DIOD,71.07,-1.01,65.00,84.00,Information Technology,3.126527653E7
GOLD,60.91,+3.21,60.10,61.75,Consumer Discretionary,6.482321776E7
USAS,7.53,+.35,7.42,7.45,Materials,4.268987575E7
CTMX,5.32,-.11,5.35,5.50,Health Care,2.007042409E7
TROX,7.85,-.01,7.68,8.03,Materials,3.710170888E7
ENTG,131.43,+.53,130.50,136.00,Information Technology,3.7216842117E8
UCTT,55.39,+2.93,55.50,57.00,Information Technology,8.886679222E7
ICHR,46.77,+2.84,46.68,47.69,Information Technology,6.439459612E7
EWTX,30.01,-.36,27.28,31.20,Health Care,2.793645163E7
SIMO,136.28,-2.07,135.35,136.99,Information Technology,6.940128721E7
MLEC,8.63,+3.53,8.00,8.02,Consumer Staples,4.1202627067E8
BNAI,20.92,-.50,20.37,20.62,Information Technology,2.095088968E7
KMTS,26.92,-.54,21.50,28.20,Health Care,1.456872954E7
GLTO,29.12,-.91,27.66,30.03,Health Care,2.126666978E7
CABO,113.58,+1.23,70.06,120.95,Communication Services,1.22567032E7
EVMN,31.57,+3.69,31.90,32.10,Health Care,4.307855821E7
ASTI,6.23,-.30,6.30,6.39,Information Technology,2.020026016E7
