Watchlist '1week'

1week
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
VRT,243.21,-.32,243.17,243.99,Industrials,1.31803446336E9
IBRX,8.54,+2.52,8.48,8.49,Health Care,6.2183578143E8
GNRC,228.35,-5.11,228.15,231.00,Industrials,3.6004838752E8
FSLY,18.83,+1.17,19.01,19.07,Information Technology,3.0471836969E8
SNSE,26.25,+17.12,25.35,25.75,Health Care,2.7988634983E8
SOLS,80.92,+.02,79.35,80.76,Materials,2.6969640358E8
ELF,88.04,+.76,87.71,88.29,Consumer Staples,1.7589080931E8
MLEC,14.36,+4.78,13.04,13.88,Consumer Staples,1.1381787687E8
ATOM,5.48,-.25,5.50,5.52,Information Technology,9.750068423E7
IPGP,138.28,+3.42,132.80,151.60,Information Technology,8.25906067E7
CMPS,8.45,+.82,8.48,8.62,Health Care,7.436488247E7
NKTR,73.18,-.64,72.02,73.36,Health Care,6.686436656E7
ACHC,16.93,+.515,16.50,17.05,Health Care,4.031226037E7
WOLF,19.59,+.47,19.41,19.61,Information Technology,2.739966493E7
SHAZ,31.70,+29.85,29.50,30.50,,1.584243693E7
GLTO,30.50,+.59,30.10,34.00,Health Care,1.204859398E7
