Watchlist '6month '

6month 
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
SNDK,638.52,-27.97,633.91,635.50,Information Technology,1.954094328946E10
INTC,46.12,+2.49,45.95,46.00,Information Technology,4.48353437543E9
LITE,688.27,+13.54,688.27,690.00,Information Technology,2.43627263203E9
LRCX,244.25,+1.98,243.61,244.50,Information Technology,2.2196914506E9
COHR,254.86,+5.97,256.51,259.00,Information Technology,1.17696928371E9
IBRX,11.55,+1.72,11.56,11.58,Health Care,9.3348085521E8
CIFR,17.12,+1.90,17.23,17.25,Information Technology,8.4481697689E8
WULF,17.56,+1.88,17.46,17.48,Information Technology,8.0151993577E8
CIEN,342.70,-2.14,338.78,342.86,Information Technology,7.7344665782E8
NBIS,102.58,+1.97,101.78,102.30,Information Technology,7.5271115349E8
MPWR,1213.67,+23.61,1209.00,1220.00,Information Technology,7.4050609331E8
FTAI,303.93,+19.70,303.50,306.37,Industrials,5.2644752312E8
DOCN,62.74,+3.50,62.60,64.01,Information Technology,4.6081970585E8
SCCO,210.69,+3.64,210.69,212.26,Materials,3.9624061196E8
PRIM,151.92,-13.72,151.70,154.00,Industrials,3.6703607033E8
MRNA,50.52,+.23,50.58,50.75,Health Care,3.5498862312E8
MKSI,251.41,-2.30,251.58,252.75,Information Technology,3.4536377771E8
UCTT,71.96,+10.55,67.55,72.11,Information Technology,3.3735338263E8
PAAS,65.36,+.18,65.12,65.25,Materials,3.3659677009E8
ENTG,136.27,-.15,125.00,142.50,Information Technology,3.3578808688E8
USAR,20.39,+1.60,20.34,20.36,Materials,3.3192993617E8
AXTI,35.08,+6.65,35.00,35.35,Information Technology,3.2899762345E8
ENPH,49.74,+2.34,48.89,49.00,Information Technology,2.9384182105E8
RIOT,16.50,+.85,16.43,16.46,Information Technology,2.7801798902E8
STRL,459.72,+25.08,460.78,462.00,Industrials,2.4955131452E8
UUUU,22.77,+1.75,22.76,22.81,Energy,2.4058187023E8
CORZ,17.87,+.98,17.80,17.90,Information Technology,2.3880984397E8
AAOI,56.27,+2.31,56.20,56.37,Information Technology,2.2914840898E8
ONTO,224.18,+10.94,220.00,228.00,Information Technology,2.2416383945E8
SEDG,43.07,+3.69,42.05,42.93,Information Technology,2.2013279662E8
VICR,190.30,+18.50,190.70,192.00,Industrials,2.1805801157E8
FLEX,64.92,+1.62,64.66,65.39,Information Technology,2.0987502618E8
AMKR,48.53,+1.46,48.62,49.00,Information Technology,2.057962626E8
MTSI,248.29,+2.76,232.64,249.60,Information Technology,2.000185309E8
SANM,158.17,+10.30,155.21,165.40,Information Technology,1.9178237807E8
VIAV,29.13,+1.76,29.12,29.50,Information Technology,1.8515468051E8
TNDM,26.90,-1.36,26.70,26.80,Health Care,1.8495720216E8
HYMC,46.94,+4.89,46.70,46.77,Materials,1.8427986907E8
FSLY,17.67,+.67,17.59,17.67,Information Technology,1.8078796876E8
AEIS,335.74,+6.50,328.00,356.00,Information Technology,1.7592613633E8
PRAX,342.71,+.25,339.00,347.00,Health Care,1.7294205085E8
TTMI,106.70,-.15,105.80,108.00,Information Technology,1.6318353445E8
LUNR,18.90,+.76,18.85,18.88,Industrials,1.4731848673E8
TARS,75.01,+5.42,73.37,76.37,Health Care,1.4640269875E8
FORM,100.58,+4.46,100.46,104.46,Information Technology,1.4630612099E8
POWL,559.16,+15.01,551.00,567.00,Industrials,1.4592544369E8
LASR,57.64,+2.94,57.54,58.10,Information Technology,1.4564836255E8
PVLA,120.41,+32.57,118.77,123.69,Health Care,1.3712269245E8
LSCC,98.36,+.70,96.00,99.20,Information Technology,1.3656677366E8
NVMI,455.02,+12.49,451.50,485.00,Information Technology,1.3230958417E8
CENX,53.51,+1.67,53.10,54.90,Materials,1.3043988614E8
NKTR,68.42,-5.20,68.12,68.90,Health Care,1.2341608221E8
VNET,11.98,+.75,12.00,12.02,Information Technology,1.2021151641E8
BNAI,28.20,+8.09,30.66,30.90,Information Technology,1.1971317869E8
BEAM,32.29,+3.96,32.16,32.46,Health Care,1.1759268031E8
LBRT,28.24,+1.60,28.30,28.49,Energy,1.133420883E8
IPGP,131.70,-2.88,121.67,148.50,Information Technology,1.1287823572E8
SMTC,90.17,+3.35,88.00,91.00,Information Technology,1.0864326283E8
SITM,404.79,+8.78,388.00,430.00,Information Technology,1.00598518E8
RCAT,12.88,+.095,12.80,12.87,Industrials,1.0051870346E8
AEHR,39.23,+4.91,38.19,39.23,Information Technology,9.906363454E7
ESTA,79.67,+4.71,78.33,79.58,Health Care,9.633512105E7
IESC,513.40,+7.67,500.00,525.00,Industrials,9.482248144E7
PLAB,37.99,+.96,38.92,39.40,Information Technology,9.223291177E7
