Watchlist '1week'

1week
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
IBRX,11.55,+1.72,11.55,11.58,Health Care,9.3348075126E8
UCTT,71.96,+10.55,67.55,72.11,Information Technology,3.3735338263E8
AXTI,35.08,+6.65,35.00,35.20,Information Technology,3.2899299289E8
AAOI,56.27,+2.31,56.20,56.37,Information Technology,2.2914835271E8
VICR,190.30,+18.50,190.70,192.00,Industrials,2.1805801157E8
TNDM,26.90,-1.36,26.70,26.80,Health Care,1.8495720216E8
HYMC,46.94,+4.89,46.70,46.77,Materials,1.8427893027E8
PVLA,120.41,+32.57,118.77,123.69,Health Care,1.3712269245E8
BNAI,28.20,+8.09,30.66,30.80,Information Technology,1.1969013929E8
AEHR,39.23,+4.91,38.19,39.23,Information Technology,9.906359531E7
VNDA,8.17,+.02,8.26,8.29,Health Care,6.109667292E7
RELY,16.19,-.11,15.87,16.20,Financials,5.991460415E7
ORIC,13.42,+1.71,13.50,14.15,Health Care,5.908267681E7
AUGO,80.75,+1.36,79.00,82.46,Materials,5.890510742E7
USAS,8.72,+.64,8.81,8.82,Materials,5.679494771E7
SYRE,43.45,-.73,43.45,47.00,Health Care,2.775547065E7
CAPR,27.91,+.04,25.00,29.70,Health Care,2.160760555E7
FCEL,8.93,+1.24,8.92,8.95,Industrials,2.078000187E7
RPGL,6.42,+6.1456,6.02,6.20,Information Technology,1.819373103E7
CDNL,34.22,+.46,32.48,34.60,Industrials,1.640241868E7
BLBX,18.15,+2.75,17.92,18.00,Information Technology,1.366441911E7
