Watchlist '1week'

1week
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
CRCL,87.21,+4.07,86.10,86.23,Information Technology,3.65414039921E9
AXON,550.19,+30.01,541.50,545.00,Industrials,1.1386689181E9
CAVA,84.74,-.93,84.21,84.50,Consumer Discretionary,5.7219624874E8
SEZL,84.70,+22.08,83.10,83.80,Financials,3.643746526E8
AXTI,37.12,-3.85,37.12,37.35,Information Technology,2.9948180353E8
NVAX,11.19,+1.66,11.08,11.12,Health Care,2.6881596524E8
PVLA,148.34,+19.74,147.98,149.00,Health Care,1.7752974578E8
VICR,205.64,+8.48,196.00,205.00,Industrials,1.7399578076E8
ACHC,22.29,+1.45,21.40,22.20,Health Care,1.2940565763E8
AEHR,39.80,-1.68,39.50,39.75,Information Technology,9.878299562E7
AUGO,89.74,+5.07,86.00,91.50,Materials,8.222138091E7
TNDM,25.79,-.22,25.95,27.00,Health Care,7.385950115E7
NVCR,13.75,-1.24,13.56,13.76,Health Care,7.272155853E7
LRMR,5.52,-.43,5.69,5.72,Health Care,7.165756042E7
USAS,9.46,+.54,9.35,9.39,Materials,5.236791126E7
CLDX,30.64,-.18,29.10,30.65,Health Care,5.089080925E7
IBTA,26.35,+5.85,26.30,27.40,Communication Services,4.788098874E7
OPRA,15.41,+2.92,15.15,15.44,Information Technology,4.535409872E7
RYAM,9.55,-.68,9.47,9.59,Materials,2.311717959E7
CDIO,5.22,-.09,7.02,7.14,Health Care,2.289152107E7
BNAI,26.21,-3.34,26.97,27.00,Information Technology,2.252229088E7
VNDA,8.60,+.32,8.66,8.69,Health Care,1.939116452E7
EYPT,17.86,+.10,16.25,17.99,Health Care,1.728072265E7
BLBX,18.15,0,18.10,18.50,Information Technology,1.402340796E7
GSIT,8.17,+.40,7.96,8.16,Information Technology,1.122996072E7
