Watchlist '1month'

1month
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
LITE,694.43,-88.82,687.20,692.50,Information Technology,5.11513930149E9
CRCL,99.63,+3.49,98.68,98.76,Information Technology,3.28555500548E9
COHR,280.81,-18.10,277.80,280.00,Information Technology,2.29275166313E9
DELL,145.18,-8.37,144.51,145.00,Information Technology,2.20590799538E9
AAOI,95.34,-7.17,92.54,94.50,Information Technology,1.58632731448E9
BATL,27.68,+15.88,23.07,23.08,Energy,1.43303706691E9
CIEN,333.07,-20.66,330.00,333.06,Information Technology,1.00149121209E9
AXTI,41.76,-4.56,40.30,40.98,Information Technology,5.354143776E8
FSLY,21.135,-.035,20.98,21.10,Information Technology,3.5529533132E8
VIAV,33.04,-2.31,33.00,33.01,Information Technology,3.2002063247E8
DAVE,208.76,+9.75,203.01,205.00,Financials,3.1415890388E8
CAVA,77.07,-1.42,75.95,77.50,Consumer Discretionary,2.8865001694E8
IBRX,10.00,-.44,9.40,9.47,Health Care,2.8419082058E8
LASR,63.07,-4.62,63.71,64.09,Information Technology,2.170463451E8
UCTT,59.60,-3.62,59.60,61.00,Information Technology,1.8277105678E8
FORM,92.78,-6.92,92.00,97.50,Information Technology,1.4777763591E8
AEHR,41.64,-2.39,41.65,41.99,Information Technology,1.4754960512E8
NKTR,68.11,-.25,67.60,69.00,Health Care,1.0184510199E8
IPGP,131.67,-3.47,131.68,135.00,Information Technology,9.845193617E7
FIGS,16.95,-.17,16.55,17.10,Consumer Discretionary,8.779396493E7
TERN,41.51,-.52,41.64,42.32,Health Care,8.400654874E7
RELY,17.58,+.65,17.05,17.55,Financials,8.209419187E7
ACHC,22.99,-.45,22.23,22.89,Health Care,7.669785822E7
TNDM,23.74,-1.49,23.75,24.87,Health Care,5.186867964E7
BORR,5.80,-.33,5.80,5.85,Energy,4.9796188E7
HNGE,44.36,-.50,43.00,45.40,Health Care,4.282432177E7
PVLA,131.51,-1.10,124.20,141.00,Health Care,4.189693593E7
ERAS,14.10,-.43,13.90,14.46,Health Care,3.878127088E7
WOLF,20.85,-.36,20.81,20.96,Information Technology,3.611314313E7
EYPT,18.32,-.02,16.00,18.39,Health Care,3.524280391E7
RLAY,9.85,+.06,9.26,10.49,Health Care,2.683924546E7
GPRE,14.67,+.73,13.95,15.00,Energy,2.663851274E7
ICHR,45.49,-3.09,43.87,46.00,Information Technology,2.611910647E7
ORIC,13.51,-.37,13.00,13.70,Health Care,2.504483573E7
LWLG,5.25,+.20,5.29,5.33,Information Technology,2.427003763E7
LINC,37.02,+.19,35.43,40.98,Consumer Discretionary,2.212222028E7
ISSC,27.97,+.39,26.60,28.00,Industrials,2.000113829E7
LRMR,5.51,+.28,5.49,5.53,Health Care,1.906406979E7
IBTA,25.65,+.71,23.50,27.75,Communication Services,1.757806122E7
KPTI,9.13,-.46,9.00,9.56,Health Care,1.589595106E7
EFXT,22.23,-1.12,21.50,24.35,Energy,1.48852312E7
CABO,109.09,+7.95,43.16,115.70,Communication Services,1.423630524E7
CGEM,15.73,-.26,14.25,16.95,Health Care,1.39674019E7
PRAA,16.96,+.21,15.98,17.00,Financials,1.39546059E7
MITK,14.85,+.10,14.40,14.85,Information Technology,1.257796523E7
ATEX,36.55,-.65,36.00,38.19,Communication Services,1.167276135E7
